date,plate_id,plate_name,sample_id,well_A01,well_01A,tissue_id,dna_person,notes,tissue_type,extraction
7/13/21,plate 30,Seren Plate 30,plate 30_A01,A01,01A,5515,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_B01,B01,01B,5518,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_C01,C01,01C,5519,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_D01,D01,01D,5520,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_E01,E01,01E,5222,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_F01,F01,01F,5523,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_G01,G01,01G,5525,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_H01,H01,01H,5527,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_A02,A02,02A,5528,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_B02,B02,02B,5529,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_C02,C02,02C,5530,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_D02,D02,02D,5532,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_E02,E02,02E,5535,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_F02,F02,02F,5537,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_G02,G02,02G,5539,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_H02,H02,02H,5540,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_A03,A03,03A,5542,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_B03,B03,03B,5543,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_C03,C03,03C,5545,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_D03,D03,03D,5546,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_E03,E03,03E,5548,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_F03,F03,03F,5549,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_G03,G03,03G,5551,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_H03,H03,03H,5552,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_A04,A04,04A,5553,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_B04,B04,04B,5555,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_C04,C04,04C,5556,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_D04,D04,04D,5558,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_E04,E04,04E,5559,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_F04,F04,04F,5562,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_G04,G04,04G,5564,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_H04,H04,04H,5565,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_A05,A05,05A,5567,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_B05,B05,05B,5569,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_C05,C05,05C,5571,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_D05,D05,05D,5574,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_E05,E05,05E,5576,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_F05,F05,05F,5578,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_G05,G05,05G,5580,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_H05,H05,05H,5583,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_A06,A06,06A,5584,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_B06,B06,06B,5586,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_C06,C06,06C,5588,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_D06,D06,06D,5589,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_E06,E06,06E,5591,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_F06,F06,06F,5592,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_G06,G06,06G,5594,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_H06,H06,06H,5596,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_A07,A07,07A,5597,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_B07,B07,07B,5599,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_C07,C07,07C,5600,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_D07,D07,07D,5601,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_E07,E07,07E,5603,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_F07,F07,07F,5604,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_G07,G07,07G,5605,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_H07,H07,07H,5607,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_A08,A08,08A,5610,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_B08,B08,08B,5612,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_C08,C08,08C,5614,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_D08,D08,08D,5617,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_E08,E08,08E,5618,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_F08,F08,08F,5619,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_G08,G08,08G,5620,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_H08,H08,08H,5622,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_A09,A09,09A,5625,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_B09,B09,09B,5628,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_C09,C09,09C,5629,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_D09,D09,09D,5632,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_E09,E09,09E,5634,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_F09,F09,09F,5637,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_G09,G09,09G,5639,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_H09,H09,09H,5641,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_A10,A10,10A,5644,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_B10,B10,10B,5646,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_C10,C10,10C,5649,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_D10,D10,10D,5650,seren,,Leaf,CTAB
7/13/21,plate 30,Seren Plate 30,plate 30_E10,E10,10E,5652,seren,,Leaf,CTAB
