date,plate_id,plate_name,sample_id,well_A01,well_01A,tissue_id,dna_person,notes,tissue_type,extraction
7/13/21,plate 31,Seren Plate 31,plate 31_A01,A01,01A,5678,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_B01,B01,01B,5680,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_C01,C01,01C,5681,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_D01,D01,01D,5682,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_E01,E01,01E,5683,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_F01,F01,01F,5685,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_G01,G01,01G,5686,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_H01,H01,01H,5687,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_A02,A02,02A,5688,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_B02,B02,02B,5690,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_C02,C02,02C,5692,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_D02,D02,02D,5730,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_E02,E02,02E,5732,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_F02,F02,02F,5734,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_G02,G02,02G,5736,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_H02,H02,02H,5738,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_A03,A03,03A,5741,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_B03,B03,03B,5743,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_C03,C03,03C,5745,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_D03,D03,03D,5747,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_E03,E03,03E,5749,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_F03,F03,03F,5750,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_G03,G03,03G,5752,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_H03,H03,03H,5753,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_A04,A04,04A,5755,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_B04,B04,04B,5757,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_C04,C04,04C,5758,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_D04,D04,04D,5760,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_E04,E04,04E,5762,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_F04,F04,04F,5764,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_G04,G04,04G,5765,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_H04,H04,04H,5766,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_A05,A05,05A,5767,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_B05,B05,05B,5768,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_C05,C05,05C,5770,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_D05,D05,05D,5772,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_E05,E05,05E,5774,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_F05,F05,05F,5776,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_G05,G05,05G,5778,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_H05,H05,05H,5779,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_A06,A06,06A,5780,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_B06,B06,06B,5781,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_C06,C06,06C,5783,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_D06,D06,06D,5785,seren,,Leaf,CTAB
7/13/21,plate 31,Seren Plate 31,plate 31_E06,E06,06E,5787,seren,,Leaf,CTAB
