date,plate_id,plate_name,sample_id,well_A01,well_01A,tissue_id,dna_person,notes,tissue_type,extraction
7/9/21,Plate 13,Seren Plate 13,Plate 13_A01,A01,01A,21.GS.C6.SN.Student2.IB-plant2160-TMS21F2192P0002,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_B01,B01,01B,21.GS.C6.SN.Student2.IB-plant2162-TMS21F2192P0004,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_C01,C01,01C,21.GS.C6.SN.Student2.IB-plant2167-TMS21F2193P0001,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_D01,D01,01D,21.GS.C6.SN.Student2.IB-plant2170-TMS21F2193P0004,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_E01,E01,01E,21.GS.C6.SN.Student2.IB-plant2172-TMS21F2193P0006,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_F01,F01,01F,21.GS.C6.SN.Student2.IB-plant2174-TMS21F2193P0008,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_G01,G01,01G,21.GS.C6.SN.Student2.IB-plant2176-TMS21F2193P0010,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_H01,H01,01H,21.GS.C6.SN.Student2.IB-plant2179-TMS21F2194P0001,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_A02,A02,02A,21.GS.C6.SN.Student2.IB-plant2180-TMS21F2194P0002,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_B02,B02,02B,21.GS.C6.SN.Student2.IB-plant2181-TMS21F2194P0003,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_C02,C02,02C,21.GS.C6.SN.Student2.IB-plant2183-TMS21F2194P0005,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_D02,D02,02D,21.GS.C6.SN.Student2.IB-plant2185-TMS21F2195P0001,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_E02,E02,02E,21.GS.C6.SN.Student2.IB-plant2187-TMS21F2195P0003,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_F02,F02,02F,21.GS.C6.SN.Student2.IB-plant2189-TMS21F2195P0005,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_G02,G02,02G,21.GS.C6.SN.Student2.IB-plant2191-TMS21F2195P0007,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_H02,H02,02H,21.GS.C6.SN.Student2.IB-plant2193-TMS21F2195P0009,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_A03,A03,03A,21.GS.C6.SN.Student2.IB-plant2195-TMS21F2195P0011,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_B03,B03,03B,21.GS.C6.SN.Student2.IB-plant2197-TMS21F2195P0013,ruth,,Leaf,CTAB
7/9/21,Plate 13,Seren Plate 13,Plate 13_C03,C03,03C,21.GS.C6.SN.Student2.IB-plant2199-TMS21F2195P0015,ruth,,Leaf,CTAB
