date,plate_id,plate_name,sample_id,well_A01,well_01A,tissue_id,dna_person,notes,tissue_type,extraction
7/9/21,plate 16,Seren Plate 16,plate 16_A01,A01,01A,2696,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_B01,B01,01B,2698,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_C01,C01,01C,2700,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_D01,D01,01D,2703,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_E01,E01,01E,2705,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_F01,F01,01F,2707,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_G01,G01,01G,2708,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_H01,H01,01H,2719,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_A02,A02,02A,2721,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_B02,B02,02B,2723,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_C02,C02,02C,2726,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_D02,D02,02D,2728,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_E02,E02,02E,2730,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_F02,F02,02F,2732,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_G02,G02,02G,2734,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_H02,H02,02H,2736,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_A03,A03,03A,2738,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_B03,B03,03B,2740,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_C03,C03,03C,2742,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_D03,D03,03D,2743,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_E03,E03,03E,2746,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_F03,F03,03F,2748,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_G03,G03,03G,2750,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_H03,H03,03H,2752,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_A04,A04,04A,2754,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_B04,B04,04B,2756,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_C04,C04,04C,2758,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_D04,D04,04D,2760,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_E04,E04,04E,2762,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_F04,F04,04F,2764,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_G04,G04,04G,2766,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_H04,H04,04H,2767,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_A05,A05,05A,2769,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_B05,B05,05B,2771,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_C05,C05,05C,2773,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_D05,D05,05D,TMS21F2231P0056_2,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_E05,E05,05E,2776,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_F05,F05,05F,2778,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_G05,G05,05G,2780,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_H05,H05,05H,2782,seren,,Leaf,CTAB
7/9/21,plate 16,Seren Plate 16,plate 16_A06,A06,06A,2783,seren,,Leaf,CTAB
