date,plate_id,plate_name,sample_id,well_A01,well_01A,tissue_id,dna_person,notes,tissue_type,extraction
7/8/21,Plate 7,Seren Plate 7,Plate 7_A01,A01,01A,21.GS.C6.SN.Student2.IB-plant1001-TMS21F2055P0015,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_B01,B01,01B,21.GS.C6.SN.Student2.IB-plant1003-TMS21F2055P0017,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_C01,C01,01C,21.GS.C6.SN.Student2.IB-plant1005-TMS21F2055P0019,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_D01,D01,01D,21.GS.C6.SN.Student2.IB-plant1006-TMS21F2055P0020,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_E01,E01,01E,21.GS.C6.SN.Student2.IB-plant1008-TMS21F2055P0022,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_F01,F01,01F,1010,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_G01,G01,01G,21.GS.C6.SN.Student2.IB-plant1012-TMS21F2055P0026,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_H01,H01,01H,1014,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_A02,A02,02A,1016,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_B02,B02,02B,21.GS.C6.SN.Student2.IB-plant1018-TMS21F2055P0032,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_C02,C02,02C,21.GS.C6.SN.Student2.IB-plant1019-TMS21F2055P0033,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_D02,D02,02D,21.GS.C6.SN.Student2.IB-plant1021-TMS21F2055P0035,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_E02,E02,02E,1023,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_F02,F02,02F,21.GS.C6.SN.Student2.IB-plant1031-TMS21F2056P0002,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_G02,G02,02G,21.GS.C6.SN.Student2.IB-plant1033-TMS21F2056P0004,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_H02,H02,02H,21.GS.C6.SN.Student2.IB-plant1034-TMS21F2056P0005,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_A03,A03,03A,21.GS.C6.SN.Student2.IB-plant1036-TMS21F2056P0007,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_B03,B03,03B,21.GS.C6.SN.Student2.IB-plant1038-TMS21F2056P0009,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_C03,C03,03C,21.GS.C6.SN.Student2.IB-plant1040-TMS21F2056P0011,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_D03,D03,03D,21.GS.C6.SN.Student2.IB-plant1042-TMS21F2056P0013,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_E03,E03,03E,21.GS.C6.SN.Student2.IB-plant1046-TMS21F2057P0001,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_F03,F03,03F,21.GS.C6.SN.Student2.IB-plant1048-TMS21F2057P0003,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_G03,G03,03G,21.GS.C6.SN.Student2.IB-plant1050-TMS21F2057P0005,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_H03,H03,03H,21.GS.C6.SN.Student2.IB-plant1052-TMS21F2057P0007,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_A04,A04,04A,21.GS.C6.SN.Student2.IB-plant1054-TMS21F2057P0009,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_B04,B04,04B,21.GS.C6.SN.Student2.IB-plant1056-TMS21F2057P0011,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_C04,C04,04C,21.GS.C6.SN.Student2.IB-plant1060-TMS21F2058P0001,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_D04,D04,04D,21.GS.C6.SN.Student2.IB-plant1063-TMS21F2058P0004,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_E04,E04,04E,21.GS.C6.SN.Student2.IB-plant1065-TMS21F2058P0006,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_F04,F04,04F,21.GS.C6.SN.Student2.IB-plant1067-TMS21F2058P0008,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_G04,G04,04G,21.GS.C6.SN.Student2.IB-plant1069-TMS21F2058P0010,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_H04,H04,04H,21.GS.C6.SN.Student2.IB-plant1071-TMS21F2059P0002,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_A05,A05,05A,21.GS.C6.SN.Student2.IB-plant1073-TMS21F2059P0004,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_B05,B05,05B,21.GS.C6.SN.Student2.IB-plant1075-TMS21F2059P0006,ruth,,Leaf,CTAB
7/8/21,Plate 7,Seren Plate 7,Plate 7_C05,C05,05C,21.GS.C6.SN.Student2.IB-plant1077-TMS21F2060P0001,ruth,,Leaf,CTAB
