date,plate_id,plate_name,sample_id,well_A01,well_01A,tissue_id,dna_person,notes,tissue_type,extraction
7/13/21,Plate 27,Seren Plate 27,Plate 27_A01,A01,01A,4854,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_B01,B01,01B,4856,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_C01,C01,01C,4858,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_D01,D01,01D,4860,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_E01,E01,01E,4863,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_F01,F01,01F,4865,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_G01,G01,01G,4867,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_H01,H01,01H,4869,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_A02,A02,02A,4871,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_B02,B02,02B,4873,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_C02,C02,02C,4875,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_D02,D02,02D,4877,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_E02,E02,02E,4879,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_F02,F02,02F,4881,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_G02,G02,02G,4883,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_H02,H02,02H,4885,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_A03,A03,03A,4887,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_B03,B03,03B,4889,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_C03,C03,03C,4891,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_D03,D03,03D,4893,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_E03,E03,03E,4895,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_F03,F03,03F,4897,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_G03,G03,03G,4899,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_H03,H03,03H,4901,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_A04,A04,04A,4903,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_B04,B04,04B,4905,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_C04,C04,04C,4907,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_D04,D04,04D,4909,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_E04,E04,04E,4912,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_F04,F04,04F,4913,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_G04,G04,04G,4915,ruth,,Leaf,CTAB
7/13/21,Plate 27,Seren Plate 27,Plate 27_H04,H04,04H,4917,ruth,,Leaf,CTAB
