"","N","chi_stat","pvalue"
"1",285,22.06,1.62075e-05
"2",285,23.01,1.00945e-05
"3",528,36.74,1.05e-08
"4",615,47.42,1e-10
"5",655,45.91,1e-10
"6",812,42.67,5e-10
"7",807,34.33,3.52e-08
"8",797,27.94,8.577e-07
"9",734,19.37,6.21823e-05
"10",734,17.82,0.0001347063
