plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1173P0009_204,TMS18F1173P0009,204,2,,2,7,4
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1278P0024_205,TMS18F1278P0024,205,2,,2,7,5
2021-20.GS.C4B.AYT.42.UB-rep2-TMS13F1160P0004_206,TMS13F1160P0004,206,2,1,2,7,6
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1307P0038_207,TMS18F1307P0038,207,2,,2,7,7
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1298P0026_208,TMS18F1298P0026,208,2,,2,8,7
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1289P0016_209,TMS18F1289P0016,209,2,,2,8,6
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1286P0003_210,TMS18F1286P0003,210,2,,2,8,5
2021-20.GS.C4B.AYT.42.UB-rep2-IITA-TMS-IBA30572_211,IITA-TMS-IBA30572,211,2,1,2,8,4
2021-20.GS.C4B.AYT.42.UB-rep2-TMS15F1100P0005_212,TMS15F1100P0005,212,2,,2,8,3
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1163P0020_213,TMS18F1163P0020,213,2,,2,8,2
2021-20.GS.C4B.AYT.42.UB-rep2-TMEB419_214,TMEB419,214,2,1,2,8,1
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1059P0013_215,TMS18F1059P0013,215,2,,2,9,1
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1297P0008_216,TMS18F1297P0008,216,2,,2,9,2
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1033P0018_217,TMS18F1033P0018,217,2,,2,9,3
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1217P0019_218,TMS18F1217P0019,218,2,,2,9,4
2021-20.GS.C4B.AYT.42.UB-rep2-TMS14F1310P0015_219,TMS14F1310P0015,219,2,1,2,9,5
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1035P0011_220,TMS18F1035P0011,220,2,,2,9,6
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1279P0006_221,TMS18F1279P0006,221,2,,2,9,7
2021-20.GS.C4B.AYT.42.UB-rep2-TMS14F1285P0017_222,TMS14F1285P0017,222,2,1,2,10,7
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1092P0007_223,TMS18F1092P0007,223,2,,2,10,6
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1308P0066_224,TMS18F1308P0066,224,2,,2,10,5
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1161P0009_225,TMS18F1161P0009,225,2,,2,10,4
2021-20.GS.C4B.AYT.42.UB-rep2-TMS13F1053P0010_226,TMS13F1053P0010,226,2,1,2,10,3
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1298P0013_227,TMS18F1298P0013,227,2,,2,10,2
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1279P0008_228,TMS18F1279P0008,228,2,,2,10,1
2021-20.GS.C4B.AYT.42.UB-rep2-TMS13F1343P0044_229,TMS13F1343P0044,229,2,1,2,11,1
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1299P0027_230,TMS18F1299P0027,230,2,,2,11,2
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1288P0021_231,TMS18F1288P0021,231,2,,2,11,3
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1269P0003_232,TMS18F1269P0003,232,2,,2,11,4
2021-20.GS.C4B.AYT.42.UB-rep2-IITA-TMS-IBA000070_233,IITA-TMS-IBA000070,233,2,1,2,11,5
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1047P0024_234,TMS18F1047P0024,234,2,,2,11,6
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1015P0015_235,TMS18F1015P0015,235,2,,2,11,7
2021-20.GS.C4B.AYT.42.UB-rep2-IITA-TMS-IBA980581_236,IITA-TMS-IBA980581,236,2,1,2,12,7
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1294P0011_237,TMS18F1294P0011,237,2,,2,12,6
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1108P0012_238,TMS18F1108P0012,238,2,,2,12,5
2021-20.GS.C4B.AYT.42.UB-rep2-TMS14F1035P0004_239,TMS14F1035P0004,239,2,1,2,12,4
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1289P0004_240,TMS18F1289P0004,240,2,,2,12,3
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1275P0004_241,TMS18F1275P0004,241,2,,2,12,2
2021-20.GS.C4B.AYT.42.UB-rep2-TMS18F1299P0012_242,TMS18F1299P0012,242,2,,2,12,1
