plot_name,plot_id,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number
2021-20.GS.C3.UYT.28.UB-rep2-TMS14F1036P0007_215,1928012,TMS14F1036P0007,215,7,,2,7,1
2021-20.GS.C3.UYT.28.UB-rep2-TMS16F1522P0022_216,1928068,TMS16F1522P0022,216,7,,2,7,2
2021-20.GS.C3.UYT.28.UB-rep2-TMS16F1078P0006_217,1928033,TMS16F1078P0006,217,7,,2,7,3
2021-20.GS.C3.UYT.28.UB-rep2-TMS16F1589P0001_218,1928041,TMS16F1589P0001,218,7,,2,7,4
2021-20.GS.C3.UYT.28.UB-rep2-IITA-TMS-IBA070593_219,1928031,IITA-TMS-IBA070593,219,7,1,2,7,5
2021-20.GS.C3.UYT.28.UB-rep2-TMS14F1287P0008_220,1928043,TMS14F1287P0008,220,7,,2,7,6
2021-20.GS.C3.UYT.28.UB-rep2-TMS14F1285P0006_221,1928070,TMS14F1285P0006,221,7,,2,7,7
2021-20.GS.C3.UYT.28.UB-rep2-IITA-TMS-IBA30572_222,1928045,IITA-TMS-IBA30572,222,8,1,2,8,7
2021-20.GS.C3.UYT.28.UB-rep2-TMS16F1577P0017_223,1928026,TMS16F1577P0017,223,8,,2,8,6
2021-20.GS.C3.UYT.28.UB-rep2-TMS16F1153P0005_224,1928037,TMS16F1153P0005,224,8,,2,8,5
2021-20.GS.C3.UYT.28.UB-rep2-TMS14F1016P0006_225,1928020,TMS14F1016P0006,225,8,,2,8,4
2021-20.GS.C3.UYT.28.UB-rep2-TMS14F1285P0017_226,1928017,TMS14F1285P0017,226,8,,2,8,3
2021-20.GS.C3.UYT.28.UB-rep2-TMS14F1306P0015_227,1928071,TMS14F1306P0015,227,8,,2,8,2
2021-20.GS.C3.UYT.28.UB-rep2-TMS16F1085P0002_228,1928018,TMS16F1085P0002,228,8,,2,8,1
2021-20.GS.C3.UYT.28.UB-rep3-TMS13F1304P0003_301,1928057,TMS13F1304P0003,301,9,,3,9,1
2021-20.GS.C3.UYT.28.UB-rep3-TMS16F1577P0017_302,1928039,TMS16F1577P0017,302,9,,3,9,2
2021-20.GS.C3.UYT.28.UB-rep3-TMS16F1522P0022_303,1928058,TMS16F1522P0022,303,9,,3,9,3
2021-20.GS.C3.UYT.28.UB-rep3-TMS16F1155P0004_304,1928023,TMS16F1155P0004,304,9,,3,9,4
2021-20.GS.C3.UYT.28.UB-rep3-IITA-TMS-IBA980581_305,1928075,IITA-TMS-IBA980581,305,9,1,3,9,5
2021-20.GS.C3.UYT.28.UB-rep3-TMS15F1142P0008_306,1928011,TMS15F1142P0008,306,9,,3,9,6
2021-20.GS.C3.UYT.28.UB-rep3-TMS16F1371P0011_307,1928052,TMS16F1371P0011,307,9,,3,9,7
2021-20.GS.C3.UYT.28.UB-rep3-TMS13F2207P0001_308,1928015,TMS13F2207P0001,308,10,,3,10,7
2021-20.GS.C3.UYT.28.UB-rep3-IITA-TMS-IBA070593_309,1928016,IITA-TMS-IBA070593,309,10,1,3,10,6
2021-20.GS.C3.UYT.28.UB-rep3-TMS16F1085P0002_310,1927999,TMS16F1085P0002,310,10,,3,10,5
2021-20.GS.C3.UYT.28.UB-rep3-TMS14F1285P0006_311,1928022,TMS14F1285P0006,311,10,,3,10,4
2021-20.GS.C3.UYT.28.UB-rep3-IITA-TMS-IBA961632_312,1928025,IITA-TMS-IBA961632,312,10,1,3,10,3
2021-20.GS.C3.UYT.28.UB-rep3-TMS14F1035P0004_313,1928007,TMS14F1035P0004,313,10,,3,10,2
2021-20.GS.C3.UYT.28.UB-rep3-IITA-TMS-IBA982101_314,1928042,IITA-TMS-IBA982101,314,10,1,3,10,1
2021-20.GS.C3.UYT.28.UB-rep3-TMS16F1507P0019_315,1928061,TMS16F1507P0019,315,11,,3,11,1
2021-20.GS.C3.UYT.28.UB-rep3-TMS16F1589P0001_316,1928047,TMS16F1589P0001,316,11,,3,11,2
