"","N","chi_stat","pvalue"
"1",285,22.06,1.62075182206149e-05
"2",285,23.01,1.00944869794719e-05
"3",528,36.74,1.04999753707325e-08
"4",615,47.42,5.03600627815285e-11
"5",655,45.91,1.07556521784373e-10
"6",812,42.67,5.43201720324324e-10
"7",807,34.33,3.51609705235397e-08
"8",797,27.94,8.57687049065763e-07
"9",734,19.37,6.21823375700933e-05
"10",734,17.82,0.000134706288137344
