"","x"
"89","TMS18F1095P0041.A41299|||TMS18F1095P0041"
"90","TMS21F2182P0002.A41300|||TMS21F2182P0002"
"91","TMS21F2242P0003.A41301|||TMS21F2242P0003"
"92","TMS21F1978P0004.A41302|||TMS21F1978P0004"
"93","TMS21F2248P0099.A41303|||TMS21F2248P0099"
"94","TMS13F1343P0022.A41596|||TMS13F1343P0022"
"95","TMS21F2234P0036.A41304|||TMS21F2234P0036"
"96","TMS18F1157P0033.A41305|||TMS18F1157P0033"
"97","TMS21F2041P0010.A41306|||TMS21F2041P0010"
"98","TMS21F2023P0004.A41307|||TMS21F2023P0004"
"99","TMS21F2235P0041.A41309|||TMS21F2235P0041"
"100","TMS21F2233P0027.A41310|||TMS21F2233P0027"
"101","TMS21F2252P0057.A41311|||TMS21F2252P0057"
"102","TMS21F2199P0002.A41312|||TMS21F2199P0002"
"103","TMS21F2235P0004.A41313|||TMS21F2235P0004"
"104","TMS21F2197P0001.A41314|||TMS21F2197P0001"
"105","TMS21F2229P0024.A41315|||TMS21F2229P0024"
"106","TMS21F2232P0062.A41316|||TMS21F2232P0062"
"107","TMS18F1289P0004.A41317|||TMS18F1289P0004"
"108","TMS21F2252P0049.A41318|||TMS21F2252P0049"
"109","TMS21F2231P0048.A41319|||TMS21F2231P0048"
"110","TMS21F2112P0011.A41320|||TMS21F2112P0011"
"111","TMS21F2189P0002.A41321|||TMS21F2189P0002"
"112","TMS21F1976P0008.A41322|||TMS21F1976P0008"
"113","TMS21F2225P0004.A41323|||TMS21F2225P0004"
"114","TMS21F2217P0002.A41324|||TMS21F2217P0002"
"115","TMS18F1481P0029.A41325|||TMS18F1481P0029"
"116","TMS21F2192P0001.A41326|||TMS21F2192P0001"
"117","TMS21F2229P0070.A41327|||TMS21F2229P0070"
"118","IITA-TMS-IBA070593.A42709|||IITA-TMS-IBA070593"
"119","TMS21F2170P0003.A41328|||TMS21F2170P0003"
"120","TMS21F2221P0006.A41329|||TMS21F2221P0006"
"121","TMS21F2113P0001.A41330|||TMS21F2113P0001"
"122","TMS21F2227P0076.A41331|||TMS21F2227P0076"
"123","TMS21F2225P0010.A41332|||TMS21F2225P0010"
"124","TMS21F2229P0077.A41333|||TMS21F2229P0077"
"125","TMS21F2210P0001.A41334|||TMS21F2210P0001"
"126","TMS21F2216P0010.A41335|||TMS21F2216P0010"
"127","TMS15F1302P0027.A41336|||TMS15F1302P0027"
"128","TMS21F2085P0009.A41337|||TMS21F2085P0009"
"129","IITA-TMS-IBA000070.A41595|||IITA-TMS-IBA000070"
