plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,sprout,vigor,cmd1s,cmd1i
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2116P0001_607,TMS21F2116P0001,607,16,,1,31,7,5,5,4,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2250P0106_608,TMS21F2250P0106,608,16,,1,31,8,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2186P0006_609,TMS21F2186P0006,609,16,,1,31,9,4,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2248P0074_610,TMS21F2248P0074,610,16,,1,31,10,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2196P0001_611,TMS21F2196P0001,611,16,,1,31,11,5,5,3,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2254P0066_612,TMS21F2254P0066,612,16,,1,31,12,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS13F1343P0022_613,TMS13F1343P0022,613,16,1,1,31,13,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1269P0003_614,TMS21F1269P0003,614,16,,1,31,14,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2251P0014_615,TMS21F2251P0014,615,16,,1,31,15,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2233P0004_616,TMS21F2233P0004,616,16,,1,31,16,5,5,2,2
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2130P0005_617,TMS21F2130P0005,617,16,,1,31,17,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2242P0017_618,TMS21F2242P0017,618,16,,1,31,18,5,5,2,1
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1294P0011_619,TMS21F1294P0011,619,16,,1,31,19,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2144P0003_620,TMS21F2144P0003,620,16,,1,31,20,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2232P0042_621,TMS21F2232P0042,621,16,,1,32,20,4,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2252P0010_622,TMS21F2252P0010,622,16,,1,32,19,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMEB419 _623,TMEB419 ,623,16,1,1,32,18,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS18F1286P0003_624,TMS18F1286P0003,624,16,,1,32,17,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2251P0003_625,TMS21F2251P0003,625,16,,1,32,16,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2046P0004_626,TMS21F2046P0004,626,16,,1,32,15,5,3,4,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2242P0016_627,TMS21F2242P0016,627,16,,1,32,14,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2136P0003_628,TMS21F2136P0003,628,16,,1,32,13,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2185P0001_629,TMS21F2185P0001,629,16,,1,32,12,3,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1279P0006_630,TMS21F1279P0006,630,16,,1,32,11,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2146P0001_631,TMS21F2146P0001,631,16,,1,32,10,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2142P0014_632,TMS21F2142P0014,632,16,,1,32,9,5,5,4,5
2022-21.GS.C5.CE.1060.IB-rep1-IITA-TMS-IBA070593_633,IITA-TMS-IBA070593,633,16,1,1,32,8,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2211P0001_634,TMS21F2211P0001,634,16,,1,32,7,3,3,4,3
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2233P0003_635,TMS21F2233P0003,635,16,,1,32,6,4,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2134P0002_636,TMS21F2134P0002,636,16,,1,32,5,5,7,4,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2248P0056_637,TMS21F2248P0056,637,16,,1,32,4,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS18F1178P0025_638,TMS18F1178P0025,638,16,,1,32,3,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2052P0002_639,TMS21F2052P0002,639,16,,1,32,2,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2250P0056_640,TMS21F2250P0056,640,16,,1,32,1,5,7,3,3
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2213P0002_641,TMS21F2213P0002,641,17,,1,33,1,5,5,4,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2180P0003_642,TMS21F2180P0003,642,17,,1,33,2,4,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2250P0042_643,TMS21F2250P0042,643,17,,1,33,3,5,3,3,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2242P0030_644,TMS21F2242P0030,644,17,,1,33,4,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2193P0001_645,TMS21F2193P0001,645,17,,1,33,5,5,7,3,2
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2022P0022_646,TMS21F2022P0022,646,17,,1,33,6,5,7,3,5
2022-21.GS.C5.CE.1060.IB-rep1-IITA-TMS-IBA000070_647,IITA-TMS-IBA000070,647,17,1,1,33,7,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS18F1095P0041_648,TMS18F1095P0041,648,17,,1,33,8,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2182P0002_649,TMS21F2182P0002,649,17,,1,33,9,5,5,3,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2242P0003_650,TMS21F2242P0003,650,17,,1,33,10,5,7,3,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1978P0004_651,TMS21F1978P0004,651,17,,1,33,11,5,7,2,3
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2248P0099_652,TMS21F2248P0099,652,17,,1,33,12,5,3,4,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2132P0002_653,TMS21F2132P0002,653,17,,1,33,13,,,,
2022-21.GS.C5.CE.1060.IB-rep1-TMS13F1343P0022_654,TMS13F1343P0022,654,17,1,1,33,14,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2234P0036_655,TMS21F2234P0036,655,17,,1,33,15,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS18F1157P0033_656,TMS18F1157P0033,656,17,,1,33,16,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2041P0010_657,TMS21F2041P0010,657,17,,1,33,17,5,5,4,4
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2023P0004_658,TMS21F2023P0004,658,17,,1,33,18,2,5,4,2
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2235P0041_659,TMS21F2235P0041,659,17,,1,33,19,3,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2233P0027_660,TMS21F2233P0027,660,17,,1,33,20,4,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2252P0057_661,TMS21F2252P0057,661,17,,1,34,20,3,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2199P0002_662,TMS21F2199P0002,662,17,,1,34,19,3,3,4,3
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2235P0004_663,TMS21F2235P0004,663,17,,1,34,18,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2197P0001_664,TMS21F2197P0001,664,17,,1,34,17,3,3,3,3
2022-21.GS.C5.CE.1060.IB-rep1-TMEB419 _665,TMEB419 ,665,17,1,1,34,16,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2227P0049_666,TMS21F2227P0049,666,17,,1,34,15,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2229P0024_667,TMS21F2229P0024,667,17,,1,34,14,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2232P0062_668,TMS21F2232P0062,668,17,,1,34,13,1,3,3,1
2022-21.GS.C5.CE.1060.IB-rep1-TMS18F1289P0004_669,TMS18F1289P0004,669,17,,1,34,12,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2252P0049_670,TMS21F2252P0049,670,17,,1,34,11,2,3,3,2
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2231P0048_671,TMS21F2231P0048,671,17,,1,34,10,2,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2112P0011_672,TMS21F2112P0011,672,17,,1,34,9,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2189P0002_673,TMS21F2189P0002,673,17,,1,34,8,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1976P0008_674,TMS21F1976P0008,674,17,,1,34,7,2,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2225P0004_675,TMS21F2225P0004,675,17,,1,34,6,4,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2217P0002_676,TMS21F2217P0002,676,17,,1,34,5,4,3,3,4
2022-21.GS.C5.CE.1060.IB-rep1-TMS18F1481P0029_677,TMS18F1481P0029,677,17,,1,34,4,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2192P0001_678,TMS21F2192P0001,678,17,,1,34,3,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2229P0070_679,TMS21F2229P0070,679,17,,1,34,2,5,7,4,5
2022-21.GS.C5.CE.1060.IB-rep1-IITA-TMS-IBA070593_680,IITA-TMS-IBA070593,680,17,1,1,34,1,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2170P0003_681,TMS21F2170P0003,681,18,,1,35,1,5,7,3,2
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2221P0006_682,TMS21F2221P0006,682,18,,1,35,2,2,3,3,2
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2113P0001_683,TMS21F2113P0001,683,18,,1,35,3,5,3,3,3
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2227P0076_684,TMS21F2227P0076,684,18,,1,35,4,4,5,3,3
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2225P0010_685,TMS21F2225P0010,685,18,,1,35,5,4,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2229P0077_686,TMS21F2229P0077,686,18,,1,35,6,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2210P0001_687,TMS21F2210P0001,687,18,,1,35,7,4,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2216P0010_688,TMS21F2216P0010,688,18,,1,35,8,4,7,4,4
2022-21.GS.C5.CE.1060.IB-rep1-TMS15F1302P0027_689,TMS15F1302P0027,689,18,,1,35,9,4,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2085P0009_690,TMS21F2085P0009,690,18,,1,35,10,5,5,3,5
2022-21.GS.C5.CE.1060.IB-rep1-IITA-TMS-IBA000070_691,IITA-TMS-IBA000070,691,18,1,1,35,11,4,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2172P0001_692,TMS21F2172P0001,692,18,,1,35,12,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2227P0019_693,TMS21F2227P0019,693,18,,1,35,13,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2143P0004_694,TMS21F2143P0004,694,18,,1,35,14,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMEB419 _695,TMEB419 ,695,18,1,1,35,15,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS18F1419P0037_696,TMS18F1419P0037,696,18,,1,35,16,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1975P0073_697,TMS21F1975P0073,697,18,,1,35,17,5,3,3,2
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2206P0002_698,TMS21F2206P0002,698,18,,1,35,18,4,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1987P0004_699,TMS21F1987P0004,699,18,,1,35,19,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2110P0002_700,TMS21F2110P0002,700,18,,1,35,20,5,3,3,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2012P0012_701,TMS21F2012P0012,701,18,,1,36,20,5,3,3,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2045P0008_702,TMS21F2045P0008,702,18,,1,36,19,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS13F1343P0022_703,TMS13F1343P0022,703,18,1,1,36,18,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2145P0003_704,TMS21F2145P0003,704,18,,1,36,17,4,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1990P0001_705,TMS21F1990P0001,705,18,,1,36,16,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2061P0006_706,TMS21F2061P0006,706,18,,1,36,15,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2244P0068_707,TMS21F2244P0068,707,18,,1,36,14,5,5,3,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2162P0001_708,TMS21F2162P0001,708,18,,1,36,13,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS13F1304P0003_709,TMS13F1304P0003,709,18,,1,36,12,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2172P0003_710,TMS21F2172P0003,710,18,,1,36,11,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1975P0091_711,TMS21F1975P0091,711,18,,1,36,10,4,5,4,4
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1982P0010_712,TMS21F1982P0010,712,18,,1,36,9,5,5,2,1
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2087P0007_713,TMS21F2087P0007,713,18,,1,36,8,4,3,4,4
2022-21.GS.C5.CE.1060.IB-rep1-IITA-TMS-IBA070593_714,IITA-TMS-IBA070593,714,18,1,1,36,7,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2181P0003_715,TMS21F2181P0003,715,18,,1,36,6,4,5,3,4
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2112P0002_716,TMS21F2112P0002,716,18,,1,36,5,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS18F1298P0026_717,TMS18F1298P0026,717,18,,1,36,4,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1997P0005_718,TMS21F1997P0005,718,18,,1,36,3,4,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1983P0003_719,TMS21F1983P0003,719,18,,1,36,2,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2152P0017_720,TMS21F2152P0017,720,18,,1,36,1,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2093P0012_721,TMS21F2093P0012,721,19,,1,37,1,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2241P0067_722,TMS21F2241P0067,722,19,,1,37,2,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2166P0001_723,TMS21F2166P0001,723,19,,1,37,3,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-IITA-TMS-IBA070593_724,IITA-TMS-IBA070593,724,19,1,1,37,4,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2238P0099_725,TMS21F2238P0099,725,19,,1,37,5,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2257P0028_726,TMS21F2257P0028,726,19,,1,37,6,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2259P0033_727,TMS21F2259P0033,727,19,,1,37,7,3,3,3,3
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2254P0010_728,TMS21F2254P0010,728,19,,1,37,8,5,5,3,1
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2175P0001_729,TMS21F2175P0001,729,19,,1,37,9,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS18F1163P0020_730,TMS18F1163P0020,730,19,,1,37,10,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2260P0057_731,TMS21F2260P0057,731,19,,1,37,11,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2086P0013_732,TMS21F2086P0013,732,19,,1,37,12,5,5,2,3
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2045P0062_733,TMS21F2045P0062,733,19,,1,37,13,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2060P0025_734,TMS21F2060P0025,734,19,,1,37,14,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2038P0014_735,TMS21F2038P0014,735,19,,1,37,15,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2157P0003_736,TMS21F2157P0003,736,19,,1,37,16,5,3,4,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2107P0021_737,TMS21F2107P0021,737,19,,1,37,17,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1997P0004_738,TMS21F1997P0004,738,19,,1,37,18,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1996P0018_739,TMS21F1996P0018,739,19,,1,37,19,5,5,3,5
2022-21.GS.C5.CE.1060.IB-rep1-TMEB419 _740,TMEB419 ,740,19,1,1,37,20,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS18F1047P0024_741,TMS18F1047P0024,741,19,,1,38,20,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2060P0003_742,TMS21F2060P0003,742,19,,1,38,19,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2002P0002_743,TMS21F2002P0002,743,19,,1,38,18,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2149P0009_744,TMS21F2149P0009,744,19,,1,38,17,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2020P0011_745,TMS21F2020P0011,745,19,,1,38,16,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2094P0003_746,TMS21F2094P0003,746,19,,1,38,15,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS13F1343P0022_747,TMS13F1343P0022,747,19,1,1,38,14,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2200P0002_748,TMS21F2200P0002,748,19,,1,38,13,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2086P0016_749,TMS21F2086P0016,749,19,,1,38,12,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS18F1279P0006_750,TMS18F1279P0006,750,19,,1,38,11,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2086P0021_751,TMS21F2086P0021,751,19,,1,38,10,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2238P0026_752,TMS21F2238P0026,752,19,,1,38,9,4,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2092P0013_753,TMS21F2092P0013,753,19,,1,38,8,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-IITA-TMS-IBA000070_754,IITA-TMS-IBA000070,754,19,1,1,38,7,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1991P0001_755,TMS21F1991P0001,755,19,,1,38,6,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2060P0004_756,TMS21F2060P0004,756,19,,1,38,5,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2238P0070_757,TMS21F2238P0070,757,19,,1,38,4,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS18F1331P0005_758,TMS18F1331P0005,758,19,,1,38,3,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2151P0004_759,TMS21F2151P0004,759,19,,1,38,2,5,7,4,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2178P0001_760,TMS21F2178P0001,760,19,,1,38,1,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2255P0011_761,TMS21F2255P0011,761,20,,1,39,1,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2256P0068_762,TMS21F2256P0068,762,20,,1,39,2,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2090P0021_763,TMS21F2090P0021,763,20,,1,39,3,5,7,3,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2257P0106_764,TMS21F2257P0106,764,20,,1,39,4,3,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2114P0003_765,TMS21F2114P0003,765,20,,1,39,5,4,3,1,0
